Temparature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name,pH
23.23,56.03,30.68,Clayey,Barley,12,8,8,17-17-17,7.29
33.81,46.53,28.31,Black,Oil seeds,7,11,9,17-17-17,7.11
36.4,53.28,38.01,Loamy,Millets,17,7,14,17-17-17,5.62
36.06,45.47,36.92,Sandy,Cotton,17,6,12,17-17-17,7.18
25.14,56.85,30.65,Sandy,Oil seeds,20,10,10,17-17-17,6.8
33.47,49.47,28.44,Sandy,Millets,21,11,3,17-17-17,7.3
26.62,73.01,25.23,Clayey,Ground Nuts,8,12,0,14-35-14,5.95
22.36,61.69,44.63,Sandy,Barley,16,27,1,14-35-14,6.94
26.21,70.64,60.15,Loamy,Paddy,23,15,6,17-17-17,5.98
26.49,62.82,36.08,Red,Ground Nuts,1,17,35,20-20,6.41
33.58,62.2,44.16,Clayey,Sugarcane,14,19,8,17-17-17,5.51
32.12,78.95,29.35,Clayey,Maize,25,16,16,17-17-17,6.96
27.63,44.19,43.86,Red,Barley,12,15,12,17-17-17,5.9
22.43,62.65,45.49,Red,Pulses,9,6,22,17-17-17,6.4
26.21,55.08,26.97,Sandy,Barley,21,13,0,14-35-14,7.3
34.42,50.05,24.18,Black,Cotton,16,25,15,17-17-17,7.09
25.25,44.55,29.35,Black,Wheat,42,9,14,17-17-17,6.0
16.66,65.39,23.82,Clayey,Barley,21,14,11,17-17-17,6.29
31.58,45.37,42.95,Red,Tobacco,24,6,26,20-20,6.63
27.31,44.6,37.59,Loamy,Wheat,15,12,10,17-17-17,6.51
23.43,72.56,48.7,Red,Ground Nuts,14,6,24,17-17-17,5.55
26.56,65.21,47.32,Clayey,Cotton,10,9,8,17-17-17,5.75
24.98,54.34,31.82,Sandy,Tobacco,30,19,9,17-17-17,6.72
19.6,57.44,50.91,Sandy,Pulses,4,0,3,14-35-14,7.35
30.22,45.99,52.38,Sandy,Ground Nuts,3,5,20,17-17-17,6.0
20.98,60.46,54.27,Red,Pulses,8,6,27,20-20,6.42
29.49,47.75,29.93,Sandy,Millets,8,19,18,20-20,6.35
25.99,59.39,31.33,Black,Millets,8,3,0,17-17-17,6.55
17.33,45.46,45.85,Black,Barley,4,5,9,17-17-17,7.39
25.92,66.01,32.24,Red,Wheat,45,8,7,17-17-17,6.6
37.0,44.46,36.32,Sandy,Millets,10,12,9,17-17-17,5.98
35.22,49.23,37.19,Red,Ground Nuts,10,5,20,17-17-17,6.15
18.45,55.44,45.41,Clayey,Maize,7,29,9,17-17-17,6.34
25.18,68.22,35.88,Clayey,Tobacco,2,16,12,17-17-17,7.22
38.42,60.0,30.63,Black,Millets,13,2,1,17-17-17,5.54
21.33,43.97,47.02,Black,Barley,20,15,22,20-20,6.88
29.49,66.85,61.08,Loamy,Paddy,16,21,15,20-20,6.8
22.63,67.86,32.56,Clayey,Oil seeds,16,9,10,17-17-17,6.27
17.77,42.71,43.13,Black,Barley,13,13,24,20-20,5.64
39.24,49.92,43.85,Black,Millets,14,8,1,17-17-17,5.77
28.93,46.54,39.89,Black,Tobacco,28,14,9,17-17-17,6.69
28.44,47.28,27.33,Loamy,Ground Nuts,16,6,15,17-17-17,5.5
35.47,68.7,45.72,Black,Ground Nuts,12,12,29,20-20,6.54
28.55,59.4,40.8,Sandy,Barley,21,12,12,17-17-17,5.6
17.35,57.04,47.46,Sandy,Wheat,11,11,18,20-20,5.57
24.79,69.87,26.11,Black,Tobacco,24,12,11,17-17-17,6.69
33.75,68.5,61.74,Black,Sugarcane,18,8,0,14-35-14,5.63
36.4,75.4,46.99,Sandy,Sugarcane,22,18,18,17-17-17,5.55
39.97,50.52,43.02,Black,Cotton,25,9,9,17-17-17,6.3
24.59,47.16,23.31,Red,Wheat,41,5,5,17-17-17,6.21
25.6,82.76,50.9,Sandy,Paddy,10,15,10,17-17-17,5.72
26.75,69.68,42.3,Black,Wheat,5,10,18,Urea,5.63
27.46,43.61,21.41,Clayey,Barley,18,4,18,17-17-17,6.27
28.96,58.13,27.81,Black,Oil seeds,11,8,16,17-17-17,6.53
28.37,46.71,36.11,Black,Cotton,6,9,12,17-17-17,6.69
34.33,66.55,44.29,Black,Oil seeds,11,9,8,17-17-17,6.81
30.59,46.49,38.09,Red,Millets,8,8,13,17-17-17,6.49
33.57,59.86,36.31,Loamy,Cotton,19,22,12,17-17-17,7.23
37.76,61.68,37.71,Red,Millets,18,15,19,20-20,7.17
26.45,66.16,20.88,Clayey,Wheat,31,6,9,17-17-17,7.15
25.63,64.96,35.22,Loamy,Wheat,33,12,3,17-17-17,5.51
24.13,80.47,43.85,Red,Sugarcane,15,10,17,17-17-17,6.07
32.86,83.3,43.08,Red,Sugarcane,11,18,19,17-17-17,7.37
23.73,50.38,38.63,Sandy,Barley,7,8,17,17-17-17,5.59
15.29,49.71,34.66,Clayey,Wheat,17,3,23,20-20,7.04
24.02,46.62,22.47,Clayey,Wheat,0,17,4,Urea,6.86
18.53,71.94,56.83,Red,Maize,1,28,11,Urea,7.21
26.81,81.7,61.45,Clayey,Sugarcane,8,2,40,20-20,6.63
21.37,48.84,33.61,Sandy,Oil seeds,11,16,13,17-17-17,6.56
28.38,51.77,29.82,Red,Tobacco,31,2,21,20-20,6.8
39.77,43.74,31.61,Black,Millets,13,13,11,17-17-17,6.86
34.29,67.7,41.73,Sandy,Oil seeds,14,9,12,17-17-17,7.0
25.54,56.79,20.29,Red,Barley,8,10,15,17-17-17,6.15
25.95,48.98,42.03,Loamy,Tobacco,17,19,10,17-17-17,6.88
16.36,59.09,41.19,Red,Wheat,45,14,14,17-17-17,5.56
27.27,64.82,41.59,Black,Tobacco,24,26,14,17-17-17,6.69
30.97,47.04,21.81,Red,Oil seeds,4,11,11,17-17-17,5.99
33.33,61.58,26.85,Red,Cotton,18,12,12,17-17-17,7.49
27.52,47.17,25.92,Black,Pulses,9,8,17,17-17-17,6.02
25.19,56.13,54.63,Clayey,Tobacco,25,22,16,17-17-17,5.58
30.88,59.6,51.2,Loamy,Tobacco,3,21,10,17-17-17,7.3
31.99,65.08,27.07,Clayey,Cotton,13,2,21,20-20,7.05
23.22,60.38,37.39,Red,Pulses,3,10,16,17-17-17,5.64
23.61,42.86,39.56,Sandy,Wheat,4,10,18,Urea,6.12
32.06,63.27,69.4,Sandy,Paddy,21,17,4,17-17-17,6.41
22.23,68.51,49.74,Clayey,Maize,15,29,22,20-20,5.83
32.97,80.14,61.71,Sandy,Paddy,18,11,10,17-17-17,7.24
22.67,76.0,54.49,Red,Paddy,20,16,22,20-20,5.86
27.2,65.58,25.52,Clayey,Tobacco,18,16,18,17-17-17,6.15
21.92,43.77,23.98,Red,Wheat,3,12,12,Urea,5.79
27.83,58.27,23.9,Loamy,Millets,11,12,11,17-17-17,5.97
25.46,63.27,37.24,Sandy,Millets,8,3,15,20-20,6.85
29.5,68.71,53.19,Clayey,Paddy,29,10,9,17-17-17,6.71
31.11,67.96,52.77,Red,Ground Nuts,6,7,25,17-17-17,6.38
23.58,68.91,46.34,Sandy,Maize,30,27,0,14-35-14,6.63
25.22,57.61,25.05,Red,Cotton,25,21,12,17-17-17,6.79
34.37,81.18,68.28,Loamy,Paddy,3,0,13,28-28,7.13
24.3,55.64,44.67,Loamy,Wheat,17,14,12,17-17-17,6.36
39.02,50.55,23.04,Red,Cotton,6,17,6,17-17-17,6.47
34.16,61.48,28.18,Loamy,Cotton,8,11,11,17-17-17,6.33
20.58,53.86,48.8,Clayey,Pulses,5,7,25,17-17-17,5.87
30.42,69.58,51.53,Clayey,Ground Nuts,0,3,22,17-17-17,5.96
29.76,72.0,35.6,Sandy,Pulses,3,5,26,20-20,5.97
19.34,63.72,38.55,Sandy,Pulses,9,3,22,17-17-17,6.67
27.03,62.39,40.71,Sandy,Sugarcane,22,8,37,20-20,6.78
34.82,48.41,40.85,Sandy,Oil seeds,2,6,27,20-20,6.31
34.85,53.85,28.64,Black,Maize,3,8,19,28-28,6.95
26.64,65.8,40.09,Red,Oil seeds,5,12,4,17-17-17,5.64
35.2,45.77,31.42,Loamy,Millets,11,0,8,17-17-17,5.88
16.33,68.85,39.05,Red,Barley,10,4,12,17-17-17,7.01
25.21,61.62,43.86,Red,Oil seeds,6,9,4,17-17-17,7.35
21.39,51.43,43.64,Clayey,Oil seeds,12,20,16,17-17-17,7.23
20.95,48.53,31.82,Loamy,Tobacco,4,15,6,17-17-17,6.18
29.2,68.27,46.2,Red,Cotton,2,20,14,17-17-17,5.82
24.71,83.26,52.33,Red,Paddy,30,13,10,17-17-17,7.13
25.64,49.68,20.69,Red,Wheat,27,12,16,20-20,5.81
30.71,67.84,58.19,Sandy,Sugarcane,17,15,16,17-17-17,5.78
24.36,63.38,68.89,Clayey,Sugarcane,22,14,17,17-17-17,6.6
24.17,70.54,25.01,Loamy,Tobacco,3,23,24,Urea,5.54
26.96,72.12,62.63,Loamy,Sugarcane,0,1,12,17-17-17,6.74
21.12,64.57,27.96,Black,Oil seeds,13,3,26,20-20,5.86
25.98,75.6,60.54,Red,Paddy,27,10,3,17-17-17,6.35
20.38,64.83,42.01,Black,Wheat,23,9,10,17-17-17,7.04
30.85,64.74,62.38,Loamy,Paddy,20,18,14,17-17-17,6.15
22.84,61.07,57.43,Loamy,Paddy,20,7,25,20-20,6.03
24.87,67.12,39.28,Loamy,Tobacco,13,0,8,17-17-17,6.25
33.6,83.88,65.74,Loamy,Paddy,14,16,22,20-20,6.13
28.94,69.75,39.86,Red,Pulses,4,5,4,14-35-14,6.27
25.66,76.47,28.7,Red,Maize,14,27,15,17-17-17,7.48
39.35,62.13,30.6,Sandy,Cotton,15,8,19,20-20,6.09
17.41,45.22,22.95,Black,Wheat,14,15,17,20-20,6.82
24.15,66.39,47.82,Loamy,Sugarcane,24,15,17,17-17-17,5.64
35.18,67.32,69.4,Loamy,Sugarcane,26,15,22,17-17-17,6.7
26.74,72.84,31.74,Loamy,Ground Nuts,13,0,2,10-26-26,6.24
34.15,51.02,23.65,Loamy,Oil seeds,10,12,21,17-17-17,5.89
18.36,56.32,39.08,Sandy,Wheat,17,13,4,17-17-17,5.94
25.77,61.19,46.84,Black,Ground Nuts,6,8,20,17-17-17,5.72
24.53,56.27,37.71,Red,Wheat,30,1,15,20-20,6.52
23.27,62.83,24.8,Red,Wheat,21,8,6,17-17-17,6.42
28.26,63.48,30.64,Clayey,Pulses,7,10,20,17-17-17,6.21
26.41,41.06,42.37,Loamy,Barley,14,6,18,17-17-17,5.9
27.95,51.05,33.46,Black,Wheat,18,17,13,17-17-17,6.94
22.02,64.46,50.58,Clayey,Paddy,16,17,4,17-17-17,5.83
33.7,56.84,36.82,Clayey,Cotton,10,15,18,20-20,6.71
34.55,44.47,40.86,Sandy,Cotton,12,6,19,20-20,6.99
19.51,56.62,45.94,Sandy,Maize,17,34,7,17-17-17,6.97
31.78,48.55,37.3,Red,Tobacco,28,5,0,10-26-26,7.18
20.31,66.01,42.57,Loamy,Pulses,7,6,21,17-17-17,6.67
25.84,65.58,26.77,Clayey,Cotton,3,16,0,17-17-17,6.25
21.21,66.84,39.89,Loamy,Tobacco,17,20,21,20-20,6.37
16.97,51.97,47.68,Red,Barley,7,5,7,17-17-17,6.44
24.02,48.91,45.59,Clayey,Oil seeds,0,18,22,20-20,5.59
26.1,79.3,51.73,Red,Paddy,24,18,22,20-20,5.97
32.42,64.49,23.62,Sandy,Millets,9,4,8,17-17-17,6.95
39.21,69.02,25.49,Sandy,Cotton,8,13,21,20-20,5.54
34.67,56.82,39.14,Sandy,Maize,14,30,17,17-17-17,6.59
30.79,64.14,68.37,Loamy,Sugarcane,11,22,36,20-20,7.2
15.93,55.38,44.19,Red,Barley,7,7,10,17-17-17,6.42
24.95,67.7,40.58,Loamy,Tobacco,14,17,18,17-17-17,5.91
18.38,46.96,38.92,Sandy,Pulses,5,15,16,17-17-17,7.32
21.78,51.92,22.8,Red,Barley,11,10,11,17-17-17,6.38
24.15,52.81,39.28,Red,Oil seeds,5,13,15,17-17-17,5.89
22.49,63.4,35.89,Red,Tobacco,18,11,5,17-17-17,7.29
35.99,60.51,27.83,Clayey,Millets,12,6,14,17-17-17,7.1
20.43,69.52,40.04,Sandy,Wheat,9,12,10,17-17-17,6.77
30.23,76.71,27.78,Red,Maize,18,15,18,17-17-17,6.96
21.66,67.79,54.64,Loamy,Tobacco,6,20,23,20-20,7.3
19.58,47.62,46.57,Clayey,Pulses,4,7,20,17-17-17,6.34
32.59,70.89,57.32,Loamy,Sugarcane,18,9,21,17-17-17,6.98
35.23,45.01,39.66,Red,Cotton,13,9,17,20-20,7.48
15.5,49.12,39.59,Clayey,Barley,17,15,18,17-17-17,7.38
36.7,76.77,56.81,Black,Sugarcane,23,0,2,10-26-26,5.72
28.2,56.41,54.3,Clayey,Tobacco,13,17,14,17-17-17,5.72
18.8,67.32,42.62,Sandy,Wheat,26,18,6,17-17-17,7.11
18.66,66.18,23.38,Sandy,Wheat,13,0,12,20-20,6.91
26.16,54.0,47.3,Clayey,Ground Nuts,7,16,26,17-17-17,5.6
32.57,52.13,32.88,Clayey,Oil seeds,10,3,25,20-20,6.04
28.35,78.44,60.5,Black,Paddy,29,13,8,17-17-17,5.57
21.97,44.13,30.22,Red,Barley,25,20,12,17-17-17,5.83
27.32,64.57,53.52,Red,Tobacco,27,27,15,17-17-17,6.7
15.04,41.19,38.12,Sandy,Wheat,21,3,2,17-17-17,7.31
31.71,54.23,37.73,Black,Cotton,0,13,13,17-17-17,6.57
25.87,63.16,32.65,Loamy,Maize,14,19,22,20-20,6.29
22.42,65.26,26.35,Sandy,Ground Nuts,14,5,31,20-20,6.4
35.71,55.2,27.73,Clayey,Millets,12,5,8,17-17-17,7.15
24.27,53.63,39.66,Red,Maize,24,16,19,17-17-17,7.0
25.43,59.84,20.3,Loamy,Oil seeds,9,10,20,17-17-17,6.77
34.63,46.99,41.02,Clayey,Ground Nuts,11,8,17,17-17-17,5.78
32.29,57.32,21.31,Black,Cotton,0,17,16,20-20,5.75
27.59,76.82,55.51,Black,Paddy,34,20,10,17-17-17,6.11
30.3,74.48,62.78,Black,Sugarcane,12,15,17,17-17-17,5.7
30.03,63.56,66.7,Red,Sugarcane,0,20,29,20-20,6.19
27.73,54.34,45.31,Black,Ground Nuts,3,8,12,17-17-17,6.71
22.11,59.57,25.83,Sandy,Tobacco,20,18,14,17-17-17,6.51
27.43,49.8,25.7,Black,Ground Nuts,0,8,14,17-17-17,7.01
27.93,56.36,22.65,Red,Wheat,26,14,11,17-17-17,6.71
34.67,80.84,53.21,Clayey,Sugarcane,9,10,12,17-17-17,6.1
32.8,73.62,53.3,Red,Paddy,16,15,8,17-17-17,6.67
32.97,68.7,44.93,Black,Maize,16,17,5,17-17-17,6.74
21.99,62.79,42.97,Black,Tobacco,12,14,10,17-17-17,6.21
23.24,41.73,40.42,Black,Barley,15,13,19,17-17-17,6.43
22.37,55.67,36.88,Loamy,Barley,12,13,20,20-20,6.38
35.89,66.83,33.68,Loamy,Cotton,21,11,22,20-20,6.39
20.05,61.0,28.95,Red,Oil seeds,15,5,6,17-17-17,5.98
34.63,65.52,64.68,Clayey,Paddy,21,20,18,20-20,7.03
27.9,65.27,68.72,Sandy,Sugarcane,24,17,13,17-17-17,5.52
24.59,65.02,42.21,Black,Wheat,33,19,16,17-17-17,5.79
29.2,47.66,39.63,Black,Tobacco,24,2,2,10-26-26,5.66
20.23,43.33,44.25,Black,Barley,0,12,16,17-17-17,7.4
27.9,46.51,27.19,Red,Pulses,3,3,9,17-17-17,6.31
25.45,67.88,32.15,Black,Wheat,20,15,0,17-17-17,7.31
29.85,68.95,62.96,Clayey,Paddy,7,18,12,Urea,5.75
29.5,61.64,44.11,Loamy,Pulses,1,2,16,17-17-17,6.55
33.75,66.62,37.04,Clayey,Tobacco,8,22,7,17-17-17,5.82
18.0,65.33,26.64,Sandy,Maize,17,25,16,17-17-17,6.05
27.04,53.11,50.28,Sandy,Ground Nuts,5,9,20,17-17-17,6.13
30.66,68.09,40.25,Sandy,Cotton,12,6,8,17-17-17,5.73
33.38,64.57,55.57,Clayey,Paddy,25,12,14,17-17-17,5.76
27.13,60.86,49.98,Clayey,Oil seeds,0,8,14,17-17-17,5.71
29.18,61.31,63.03,Black,Sugarcane,23,13,20,17-17-17,6.33
33.05,63.26,39.43,Sandy,Oil seeds,12,10,13,17-17-17,7.09
15.78,60.47,34.04,Red,Barley,10,15,22,20-20,6.66
23.16,43.0,40.64,Loamy,Barley,16,15,15,17-17-17,5.98
26.96,73.9,40.57,Clayey,Tobacco,15,9,22,20-20,6.86
34.59,53.77,25.59,Red,Maize,18,26,17,17-17-17,7.04
26.99,62.12,42.04,Red,Pulses,3,6,27,20-20,6.83
33.2,64.89,38.18,Sandy,Cotton,9,13,9,17-17-17,6.08
30.78,78.69,54.21,Loamy,Sugarcane,19,12,22,17-17-17,5.62
18.07,61.77,38.59,Sandy,Barley,11,17,21,20-20,7.29
33.34,73.42,35.12,Black,Ground Nuts,9,9,11,17-17-17,6.95
26.06,60.2,58.93,Loamy,Sugarcane,2,24,19,17-17-17,6.4
29.11,64.51,59.17,Loamy,Paddy,21,18,11,17-17-17,6.62
33.81,74.44,48.79,Red,Ground Nuts,9,7,20,17-17-17,7.21
39.72,45.7,43.78,Loamy,Cotton,2,12,14,20-20,7.32
26.1,63.19,29.3,Clayey,Wheat,41,13,10,17-17-17,5.96
32.2,69.42,61.04,Loamy,Paddy,32,4,12,17-17-17,7.11
25.44,57.08,51.84,Clayey,Ground Nuts,24,19,4,14-35-14,5.5
20.49,46.73,38.33,Clayey,Tobacco,15,0,24,20-20,6.05
35.86,82.56,66.32,Red,Sugarcane,8,5,24,20-20,7.45
30.79,61.9,37.83,Clayey,Tobacco,24,16,13,17-17-17,6.15
26.6,52.58,43.41,Loamy,Wheat,6,4,11,28-28,6.45
34.54,50.93,28.86,Red,Cotton,14,11,6,17-17-17,7.26
32.17,68.22,35.58,Clayey,Ground Nuts,0,8,29,20-20,7.15
22.0,70.41,60.45,Sandy,Paddy,27,5,5,17-17-17,5.61
25.78,45.73,29.3,Black,Cotton,5,15,22,20-20,6.96
25.29,66.79,52.51,Sandy,Paddy,35,7,16,20-20,6.17
17.24,51.42,32.43,Clayey,Barley,1,10,15,17-17-17,7.01
34.14,68.96,29.55,Red,Maize,45,26,21,17-17-17,6.62
39.59,53.46,24.77,Red,Cotton,9,9,17,20-20,5.86
22.36,48.57,47.94,Red,Tobacco,13,0,27,20-20,6.84
26.2,65.2,38.55,Black,Maize,23,27,13,17-17-17,7.31
22.27,55.03,41.19,Red,Wheat,28,20,0,17-17-17,6.57
28.27,62.96,69.23,Black,Paddy,22,18,13,17-17-17,6.93
31.02,61.77,49.39,Black,Sugarcane,26,16,5,14-35-14,7.37
27.8,40.49,29.77,Red,Millets,16,13,11,17-17-17,5.88
26.63,62.1,56.67,Black,Paddy,19,11,12,17-17-17,6.86
31.78,63.03,54.71,Black,Tobacco,17,17,12,17-17-17,6.15
22.85,59.55,26.13,Clayey,Oil seeds,9,5,16,17-17-17,6.54
34.36,75.77,56.49,Sandy,Sugarcane,17,11,8,17-17-17,6.88
26.87,47.76,41.6,Red,Tobacco,11,25,8,17-17-17,6.78
28.31,65.16,42.51,Loamy,Ground Nuts,18,2,9,10-26-26,6.55
24.56,78.09,43.97,Sandy,Maize,36,9,21,20-20,7.38
24.97,67.28,34.81,Sandy,Pulses,6,0,20,17-17-17,7.28
34.2,59.13,27.26,Red,Cotton,15,15,14,17-17-17,6.93
18.27,52.31,56.89,Sandy,Maize,6,32,12,17-17-17,6.21
26.5,51.5,34.81,Loamy,Wheat,43,19,9,17-17-17,6.07
18.8,69.63,28.74,Sandy,Barley,4,8,12,17-17-17,7.04
29.33,73.62,40.9,Clayey,Maize,32,8,22,20-20,6.76
25.49,49.33,48.52,Red,Pulses,10,2,18,17-17-17,6.34
22.04,40.85,26.3,Clayey,Barley,18,11,20,17-17-17,6.06
22.92,64.64,63.28,Clayey,Paddy,26,10,17,20-20,7.26
23.75,60.45,41.07,Red,Tobacco,12,11,22,20-20,6.21
24.62,67.84,48.58,Clayey,Oil seeds,9,7,0,14-35-14,6.15
32.55,45.82,45.76,Clayey,Cotton,6,12,13,17-17-17,6.85
25.2,48.88,33.78,Sandy,Cotton,7,0,20,20-20,6.32
24.34,61.97,35.45,Clayey,Wheat,18,4,7,17-17-17,5.82
26.78,46.36,29.33,Red,Cotton,7,19,6,17-17-17,5.83
33.35,50.39,30.72,Black,Millets,7,13,18,20-20,6.58
26.5,62.36,55.47,Clayey,Maize,10,9,16,20-20,6.76
21.66,43.43,42.94,Loamy,Wheat,27,20,15,17-17-17,6.86
31.43,57.24,51.57,Sandy,Ground Nuts,11,13,21,17-17-17,5.94
31.98,61.85,25.09,Sandy,Millets,18,0,13,17-17-17,5.75
37.82,66.48,33.99,Black,Cotton,19,11,9,17-17-17,5.65
27.73,58.58,41.2,Red,Millets,12,10,11,17-17-17,6.59
29.96,56.77,29.63,Red,Barley,5,10,3,17-17-17,5.94
32.12,64.7,46.26,Red,Ground Nuts,6,3,23,17-17-17,5.52
18.09,74.13,52.05,Sandy,Maize,35,24,18,17-17-17,6.6
19.96,65.13,43.61,Red,Pulses,7,4,14,17-17-17,6.98
17.38,47.75,38.16,Clayey,Barley,18,21,18,17-17-17,6.37
28.03,53.13,31.07,Clayey,Pulses,6,3,11,17-17-17,6.13
28.44,61.74,42.54,Red,Pulses,0,5,0,14-35-14,5.77
18.96,68.17,39.09,Sandy,Barley,19,8,8,17-17-17,6.15
27.17,69.71,26.89,Clayey,Pulses,5,8,29,20-20,7.05
21.69,63.92,34.24,Red,Maize,29,21,23,20-20,6.33
28.47,66.64,29.76,Sandy,Barley,11,7,19,20-20,7.3
34.64,73.01,49.04,Red,Ground Nuts,9,8,17,17-17-17,6.85
18.38,60.81,52.43,Black,Maize,32,23,5,17-17-17,6.63
20.08,73.15,37.44,Black,Tobacco,29,13,10,17-17-17,6.3
35.14,44.15,37.37,Black,Cotton,10,20,17,20-20,6.64
35.94,74.43,44.49,Clayey,Ground Nuts,2,16,24,17-17-17,7.11
33.66,55.87,50.91,Black,Ground Nuts,9,9,23,17-17-17,5.72
21.05,58.87,42.43,Sandy,Oil seeds,6,7,4,17-17-17,7.12
25.02,65.12,25.09,Loamy,Barley,18,17,24,20-20,5.54
29.41,56.08,34.65,Red,Barley,18,5,16,17-17-17,6.3
28.82,57.5,37.79,Loamy,Barley,8,17,13,17-17-17,6.21
35.67,65.5,36.26,Clayey,Ground Nuts,10,6,12,17-17-17,7.1
25.91,75.42,27.18,Sandy,Maize,24,12,18,17-17-17,6.17
24.65,46.66,53.27,Loamy,Pulses,5,0,29,20-20,5.65
34.58,70.99,55.57,Sandy,Paddy,8,9,5,17-17-17,7.1
19.62,60.22,21.88,Red,Wheat,19,13,9,17-17-17,5.92
27.44,61.2,38.52,Loamy,Barley,26,5,14,17-17-17,5.81
20.74,69.53,31.87,Sandy,Wheat,10,3,6,17-17-17,6.93
20.21,56.42,49.75,Clayey,Barley,16,12,7,17-17-17,6.83
